Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1996-02-14,1995,Final,23,PHI,83.0,Philadelphia 76ers,9,DET,102,Detroit Pistons
1996-02-15,1995,Final,25,POR,84.0,Portland Trail Blazers,24,PHX,96,Phoenix Suns
1996-02-16,1995,Final,14,LAL,119.0,Los Angeles Lakers,7,DAL,114,Dallas Mavericks
1996-02-18,1995,Final,8,DEN,117.0,Denver Nuggets,2,BOS,93,Boston Celtics
1996-02-19,1995,Final,6,CLE,73.0,Cleveland Cavaliers,16,MIA,70,Miami Heat
1996-02-20,1995,Final,22,ORL,123.0,Orlando Magic,23,PHI,104,Philadelphia 76ers
1996-02-21,1995,Final,18,MIN,120.0,Minnesota Timberwolves,11,HOU,101,Houston Rockets
1996-02-21,1995,Final,24,PHX,120.0,Phoenix Suns,2,BOS,107,Boston Celtics
1996-02-22,1995,Final,1,ATL,91.0,Atlanta Hawks,5,CHI,96,Chicago Bulls
1996-02-23,1995,Final,24,PHX,110.0,Phoenix Suns,28,TOR,105,Toronto Raptors
1996-02-25,1995,Final,24,PHX,113.0,Phoenix Suns,20,NYK,105,New York Knicks
1996-02-27,1995,Final,17,MIL,84.0,Milwaukee Bucks,4,CHA,88,Charlotte Hornets
1996-02-28,1995,Final,22,ORL,116.0,Orlando Magic,16,MIA,112,Miami Heat
1996-02-29,1995,Final,27,SAS,120.0,San Antonio Spurs,28,TOR,95,Toronto Raptors
1996-03-01,1995,Final,2,BOS,96.0,Boston Celtics,21,OKC,106,Oklahoma City Thunder
1996-11-01,1996,Final,3,BKN,77.0,Brooklyn Nets,6,CLE,90,Cleveland Cavaliers
1996-11-01,1996,Final,10,GSW,85.0,Golden State Warriors,13,LAC,97,LA Clippers
1996-11-02,1996,Final,1,ATL,78.0,Atlanta Hawks,9,DET,90,Detroit Pistons
1996-11-05,1996,Final,10,GSW,93.0,Golden State Warriors,25,POR,111,Portland Trail Blazers
