Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1995-01-26,1994,Final,22,ORL,102.0,Orlando Magic,5,CHI,99,Chicago Bulls
1995-01-27,1994,Final,2,BOS,117.0,Boston Celtics,10,GSW,91,Golden State Warriors
1995-01-28,1994,Final,29,UTA,111.0,Utah Jazz,3,BKN,94,Brooklyn Nets
1995-11-18,1995,Final,24,PHX,107.0,Phoenix Suns,25,POR,102,Portland Trail Blazers
1995-11-19,1995,Final,20,NYK,98.0,New York Knicks,15,MEM,93,Memphis Grizzlies
1995-11-20,1995,Final,22,ORL,101.0,Orlando Magic,10,GSW,95,Golden State Warriors
1995-11-21,1995,Final,7,DAL,102.0,Dallas Mavericks,5,CHI,108,Chicago Bulls
1995-11-22,1995,Final,4,CHA,124.0,Charlotte Hornets,2,BOS,129,Boston Celtics
1995-11-22,1995,Final,22,ORL,95.0,Orlando Magic,15,MEM,93,Memphis Grizzlies
1995-11-22,1995,Final,9,DET,97.0,Detroit Pistons,30,WAS,98,Washington Wizards
1995-11-24,1995,Final,18,MIN,98.0,Minnesota Timberwolves,22,ORL,109,Orlando Magic
1995-11-24,1995,Final,4,CHA,116.0,Charlotte Hornets,15,MEM,104,Memphis Grizzlies
1995-11-25,1995,Final,16,MIA,111.0,Miami Heat,15,MEM,91,Memphis Grizzlies
1995-11-28,1995,Final,21,OKC,101.0,Oklahoma City Thunder,12,IND,102,Indiana Pacers
1995-11-29,1995,Final,10,GSW,98.0,Golden State Warriors,25,POR,112,Portland Trail Blazers
1995-11-30,1995,Final,22,ORL,110.0,Orlando Magic,7,DAL,96,Dallas Mavericks
