id,Player_ID,First_Name,Last_Name,AST,BLK,DREB,FG3_PCT,FG3A,FG3M,FG_PCT,FGA,FGM,FT_PCT,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,Turnover,Player_Position,Players_Team_ID,Players_Team_Name,Home_Team_ID,Home_Team_Score,Visitor_Team_ID,Visitor_Team_Score
1069036,22,Deandre,Ayton,2.0,2.0,10.0,0.0,0.0,0.0,0.75,8.0,6.0,0.75,4.0,3.0,35:09,7.0,1.0,15.0,17.0,2.0,2.0,C,24,Phoenix Suns,28,111,24,109
1069037,57,Devin,Booker,8.0,0.0,2.0,0.444,9.0,4.0,0.47600000000000003,21.0,10.0,0.667,9.0,6.0,35:11,0.0,3.0,30.0,2.0,0.0,6.0,G,24,Phoenix Suns,28,111,24,109
1069038,313,De'Anthony,Melton,2.0,1.0,3.0,0.0,2.0,0.0,0.25,4.0,1.0,0.0,0.0,0.0,16:07,0.0,4.0,2.0,3.0,1.0,0.0,G,24,Phoenix Suns,28,111,24,109
1069039,355,Elie,Okobo,0.0,0.0,1.0,0.5,2.0,1.0,0.667,3.0,2.0,0.75,4.0,3.0,15:41,0.0,1.0,8.0,1.0,2.0,1.0,G,24,Phoenix Suns,28,111,24,109
1069040,234,Josh,Jackson,0.0,0.0,2.0,0.5,2.0,1.0,0.75,4.0,3.0,0.0,0.0,0.0,18:43,0.0,2.0,7.0,2.0,2.0,1.0,F,24,Phoenix Suns,28,111,24,109
1069041,360,Kelly,Oubre Jr.,1.0,0.0,4.0,0.16699999999999998,6.0,1.0,0.188,16.0,3.0,0.846,13.0,11.0,29:49,5.0,2.0,18.0,9.0,0.0,2.0,F,24,Phoenix Suns,28,111,24,109
1069042,217,Richaun,Holmes,1.0,1.0,0.0,0.0,0.0,0.0,0.33299999999999996,3.0,1.0,0.5,2.0,1.0,12:51,1.0,3.0,3.0,1.0,0.0,3.0,F-C,24,Phoenix Suns,28,111,24,109
1069043,2020,Quincy,Acy,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5:24,0.0,0.0,0.0,0.0,0.0,0.0,F-C,24,Phoenix Suns,28,111,24,109
1069047,184,Danny,Green,1.0,0.0,1.0,0.33299999999999996,3.0,1.0,0.5,6.0,3.0,0.667,3.0,2.0,26:12,0.0,2.0,9.0,1.0,1.0,0.0,G-F,28,Toronto Raptors,28,111,24,109
1069048,416,Pascal,Siakam,5.0,2.0,10.0,0.0,3.0,0.0,0.5,8.0,4.0,1.0,2.0,2.0,33:00,2.0,1.0,10.0,12.0,1.0,1.0,F,28,Toronto Raptors,28,111,24,109
1069049,223,Serge,Ibaka,1.0,1.0,3.0,0.0,1.0,0.0,0.579,19.0,11.0,0.0,2.0,0.0,31:15,3.0,4.0,22.0,6.0,0.0,3.0,F-C,28,Toronto Raptors,28,111,24,109
1069050,458,Fred,VanVleet,4.0,1.0,2.0,0.33299999999999996,3.0,1.0,0.545,11.0,6.0,1.0,2.0,2.0,31:05,0.0,3.0,15.0,2.0,0.0,0.0,G,28,Toronto Raptors,28,111,24,109
1069051,286,Kyle,Lowry,8.0,0.0,8.0,0.2,10.0,2.0,0.267,15.0,4.0,0.667,9.0,6.0,39:42,1.0,4.0,16.0,9.0,2.0,4.0,G,28,Toronto Raptors,28,111,24,109
1069052,380,Norman,Powell,2.0,0.0,1.0,0.0,1.0,0.0,0.25,4.0,1.0,1.0,2.0,2.0,20:41,0.0,0.0,4.0,1.0,2.0,2.0,F-G,28,Toronto Raptors,28,111,24,109
1069053,325,Greg,Monroe,0.0,2.0,3.0,0.0,0.0,0.0,0.5710000000000001,7.0,4.0,0.5,2.0,1.0,11:27,2.0,5.0,9.0,5.0,0.0,2.0,C,28,Toronto Raptors,28,111,24,109
1069054,487,Delon,Wright,5.0,0.0,0.0,0.0,0.0,0.0,0.8,5.0,4.0,1.0,2.0,2.0,18:30,0.0,1.0,10.0,0.0,1.0,1.0,G,28,Toronto Raptors,28,111,24,109
1069055,316,CJ,Miles,1.0,1.0,1.0,0.6,5.0,3.0,0.7140000000000001,7.0,5.0,0.0,0.0,0.0,17:00,1.0,2.0,13.0,2.0,1.0,0.0,F-G,28,Toronto Raptors,28,111,24,109
1069056,2158,Patrick,McCaw,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5:50,0.0,2.0,0.0,1.0,0.0,1.0,F-G,28,Toronto Raptors,28,111,24,109
1069057,58,Chris,Boucher,0.0,1.0,0.0,0.0,1.0,0.0,0.33299999999999996,3.0,1.0,1.0,1.0,1.0,5:18,0.0,3.0,3.0,0.0,0.0,0.0,F,28,Toronto Raptors,28,111,24,109
1069059,227,Brandon,Ingram,11.0,1.0,4.0,0.0,2.0,0.0,0.111,9.0,1.0,1.0,6.0,6.0,37:37,1.0,1.0,8.0,5.0,0.0,4.0,F,14,Los Angeles Lakers,21,128,14,138
1069060,265,Kyle,Kuzma,4.0,0.0,7.0,0.583,12.0,7.0,0.55,20.0,11.0,1.0,3.0,3.0,36:17,1.0,4.0,32.0,8.0,3.0,4.0,F,14,Los Angeles Lakers,21,128,14,138
1069061,94,Tyson,Chandler,0.0,1.0,4.0,0.0,0.0,0.0,0.5,6.0,3.0,0.0,0.0,0.0,16:00,3.0,1.0,6.0,7.0,0.0,1.0,C,14,Los Angeles Lakers,21,128,14,138
1069062,81,Kentavious,Caldwell-Pope,1.0,0.0,2.0,0.75,4.0,3.0,0.7140000000000001,7.0,5.0,0.0,0.0,0.0,23:23,0.0,0.0,13.0,2.0,2.0,2.0,G,14,Los Angeles Lakers,21,128,14,138
1069063,27,Lonzo,Ball,10.0,0.0,6.0,0.4,10.0,4.0,0.41200000000000003,17.0,7.0,0.0,0.0,0.0,33:02,0.0,5.0,18.0,6.0,1.0,4.0,G,14,Los Angeles Lakers,21,128,14,138
1069064,306,JaVale,McGee,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,8:45,1.0,1.0,4.0,2.0,0.0,0.0,C,14,Los Angeles Lakers,21,128,14,138
1069065,202,Josh,Hart,5.0,1.0,9.0,0.5,4.0,2.0,0.5,6.0,3.0,0.8,5.0,4.0,33:09,1.0,2.0,12.0,10.0,3.0,1.0,G,14,Los Angeles Lakers,21,128,14,138
1069066,39,Michael,Beasley,2.0,0.0,2.0,0.0,1.0,0.0,0.33299999999999996,6.0,2.0,1.0,1.0,1.0,8:37,0.0,1.0,5.0,2.0,1.0,2.0,F,14,Los Angeles Lakers,21,128,14,138
1069067,493,Ivica,Zubac,1.0,0.0,6.0,0.0,0.0,0.0,0.857,14.0,12.0,0.667,3.0,2.0,28:10,6.0,3.0,26.0,12.0,0.0,4.0,C,14,Los Angeles Lakers,21,128,14,138
1069068,338,Svi,Mykhailiuk,1.0,0.0,3.0,0.33299999999999996,6.0,2.0,0.28600000000000003,7.0,2.0,1.0,1.0,1.0,18:39,1.0,3.0,7.0,4.0,0.0,0.0,G,14,Los Angeles Lakers,21,128,14,138
1069069,431,Lance,Stephenson,2.0,0.0,3.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,13:28,0.0,2.0,2.0,3.0,1.0,1.0,G,14,Los Angeles Lakers,21,128,14,138
1069070,462,Moritz,Wagner,0.0,1.0,2.0,1.0,1.0,1.0,0.33299999999999996,3.0,1.0,1.0,2.0,2.0,7:53,0.0,1.0,5.0,2.0,0.0,0.0,C,14,Los Angeles Lakers,21,128,14,138
1069071,172,Paul,George,8.0,0.0,5.0,0.41700000000000004,12.0,5.0,0.474,19.0,9.0,0.667,6.0,4.0,43:31,2.0,2.0,27.0,7.0,3.0,3.0,F,21,Oklahoma City Thunder,21,128,14,138
1069072,182,Jerami,Grant,2.0,3.0,2.0,0.33299999999999996,6.0,2.0,0.385,13.0,5.0,1.0,2.0,2.0,38:59,1.0,3.0,14.0,3.0,0.0,1.0,F,21,Oklahoma City Thunder,21,128,14,138
1069073,3,Steven,Adams,1.0,0.0,8.0,0.0,0.0,0.0,0.667,9.0,6.0,0.833,6.0,5.0,41:19,7.0,3.0,17.0,15.0,4.0,2.0,C,21,Oklahoma City Thunder,21,128,14,138
1069074,156,Terrance,Ferguson,2.0,0.0,2.0,0.5,12.0,6.0,0.462,13.0,6.0,0.6,5.0,3.0,37:22,1.0,4.0,21.0,3.0,1.0,2.0,G,21,Oklahoma City Thunder,21,128,14,138
1069075,472,Russell,Westbrook,13.0,1.0,7.0,0.41700000000000004,12.0,5.0,0.233,30.0,7.0,0.7,10.0,7.0,43:21,2.0,5.0,26.0,9.0,1.0,3.0,G,21,Oklahoma City Thunder,21,128,14,138
1069076,409,Dennis,Schroder,2.0,0.0,1.0,0.2,5.0,1.0,0.429,7.0,3.0,1.0,2.0,2.0,16:30,0.0,1.0,9.0,1.0,0.0,3.0,G,21,Oklahoma City Thunder,21,128,14,138
1069077,339,Abdel,Nader,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.5,2.0,1.0,11:24,0.0,0.0,1.0,1.0,0.0,0.0,F,21,Oklahoma City Thunder,21,128,14,138
1069078,365,Patrick,Patterson,1.0,0.0,0.0,0.75,4.0,3.0,0.75,4.0,3.0,0.0,1.0,0.0,9:38,0.0,2.0,9.0,0.0,0.0,0.0,F,21,Oklahoma City Thunder,21,128,14,138
1069079,345,Nerlens,Noel,1.0,0.0,1.0,0.0,0.0,0.0,0.667,3.0,2.0,0.0,0.0,0.0,11:41,1.0,2.0,4.0,2.0,1.0,1.0,F-C,21,Oklahoma City Thunder,21,128,14,138
1069080,128,Hamidou,Diallo,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,11:15,1.0,0.0,0.0,3.0,0.0,0.0,G,21,Oklahoma City Thunder,21,128,14,138
1069083,79,Jimmy,Butler,8.0,0.0,4.0,0.5,2.0,1.0,0.588,17.0,10.0,1.0,6.0,6.0,34:43,1.0,1.0,27.0,5.0,3.0,0.0,G-F,23,Philadelphia 76ers,12,96,23,120
1069084,95,Wilson,Chandler,2.0,0.0,2.0,0.33299999999999996,6.0,2.0,0.444,9.0,4.0,0.0,0.0,0.0,32:07,1.0,3.0,10.0,3.0,1.0,1.0,F,23,Philadelphia 76ers,12,96,23,120
