id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
522,2018-12-28T00:00:00.000Z,118,4,FALSE,2018,Final, ,94,16,MIA,Miami,East,Southeast,Miami Heat,Heat,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
523,2018-12-28T00:00:00.000Z,120,4,FALSE,2018,Final, ,123,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
524,2018-12-28T00:00:00.000Z,102,4,FALSE,2018,Final, ,99,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
525,2018-12-28T00:00:00.000Z,102,4,FALSE,2018,Final, ,118,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
526,2018-12-28T00:00:00.000Z,107,4,FALSE,2018,Final, ,118,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
527,2018-12-29T00:00:00.000Z,129,4,FALSE,2018,Final, ,115,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
528,2018-12-29T00:00:00.000Z,104,4,FALSE,2018,Final, ,108,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
529,2018-12-29T00:00:00.000Z,130,4,FALSE,2018,Final, ,126,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
530,2018-12-29T00:00:00.000Z,111,4,FALSE,2018,Final, ,108,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
531,2018-12-29T00:00:00.000Z,103,4,FALSE,2018,Final, ,112,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
532,2018-12-29T00:00:00.000Z,129,4,FALSE,2018,Final, ,97,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
533,2018-12-29T00:00:00.000Z,118,4,FALSE,2018,Final, ,122,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
534,2018-12-29T00:00:00.000Z,105,4,FALSE,2018,Final, ,115,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
535,2018-12-29T00:00:00.000Z,111,4,FALSE,2018,Final, ,122,13,LAC,LA,West,Pacific,LA Clippers,Clippers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
536,2018-12-30T00:00:00.000Z,109,4,FALSE,2018,Final, ,107,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
537,2018-12-30T00:00:00.000Z,104,4,FALSE,2018,Final, ,113,16,MIA,Miami,East,Southeast,Miami Heat,Heat,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
538,2018-12-30T00:00:00.000Z,95,4,FALSE,2018,Final, ,89,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
539,2018-12-30T00:00:00.000Z,105,4,FALSE,2018,Final, ,103,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
540,2018-12-30T00:00:00.000Z,129,4,FALSE,2018,Final, ,95,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
541,2018-12-30T00:00:00.000Z,121,4,FALSE,2018,Final, ,114,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
542,2018-12-31T00:00:00.000Z,116,4,FALSE,2018,Final, ,108,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
543,2018-12-31T00:00:00.000Z,125,4,FALSE,2018,Final, ,100,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
544,2018-12-31T00:00:00.000Z,113,4,FALSE,2018,Final, ,101,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
545,2018-12-31T00:00:00.000Z,120,4,FALSE,2018,Final, ,111,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
546,2018-12-31T00:00:00.000Z,123,4,FALSE,2018,Final, ,114,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
547,2018-12-31T00:00:00.000Z,122,4,FALSE,2018,Final, ,102,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
548,2018-12-31T00:00:00.000Z,109,4,FALSE,2018,Final, ,132,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
549,2019-01-01T00:00:00.000Z,122,4,FALSE,2018,Final, ,116,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
550,2019-01-01T00:00:00.000Z,121,4,FALSE,2018,Final, ,98,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
551,2019-01-01T00:00:00.000Z,115,4,FALSE,2018,Final, ,108,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
552,2019-01-01T00:00:00.000Z,108,4,FALSE,2018,Final, ,113,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
553,2019-01-01T00:00:00.000Z,113,4,FALSE,2018,Final, ,119,13,LAC,LA,West,Pacific,LA Clippers,Clippers,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
554,2019-01-02T00:00:00.000Z,92,4,FALSE,2018,Final, ,117,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
555,2019-01-02T00:00:00.000Z,84,4,FALSE,2018,Final, ,122,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
556,2019-01-02T00:00:00.000Z,126,4,FALSE,2018,Final, ,121,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
557,2019-01-02T00:00:00.000Z,114,4,FALSE,2018,Final, ,98,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
558,2019-01-02T00:00:00.000Z,115,4,FALSE,2018,Final, ,102,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
