id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
460,2018-12-19T00:00:00.000Z,99,4,FALSE,2018,Final, ,96,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
461,2018-12-19T00:00:00.000Z,90,4,FALSE,2018,Final, ,129,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
462,2018-12-19T00:00:00.000Z,136,4,FALSE,2018,Final, ,118,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
463,2018-12-19T00:00:00.000Z,108,4,FALSE,2018,Final, ,103,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
464,2018-12-19T00:00:00.000Z,113,4,FALSE,2018,Final, ,132,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
465,2018-12-19T00:00:00.000Z,99,4,FALSE,2018,Final, ,92,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
466,2018-12-19T00:00:00.000Z,123,4,FALSE,2018,Final, ,129,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
467,2018-12-20T00:00:00.000Z,125,4,FALSE,2018,Final, ,121,13,LAC,LA,West,Pacific,LA Clippers,Clippers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
468,2018-12-20T00:00:00.000Z,101,4,FALSE,2018,Final, ,99,16,MIA,Miami,East,Southeast,Miami Heat,Heat,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
469,2018-12-21T00:00:00.000Z,98,4,FALSE,2018,Final, ,86,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
470,2018-12-21T00:00:00.000Z,90,4,FALSE,2018,Final, ,80,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
471,2018-12-21T00:00:00.000Z,106,4,FALSE,2018,Final, ,114,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
472,2018-12-21T00:00:00.000Z,124,4,FALSE,2018,Final, ,98,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
473,2018-12-21T00:00:00.000Z,112,4,FALSE,2018,Final, ,104,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
474,2018-12-21T00:00:00.000Z,107,4,FALSE,2018,Final, ,120,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
475,2018-12-21T00:00:00.000Z,102,4,FALSE,2018,Final, ,99,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
476,2018-12-21T00:00:00.000Z,90,4,FALSE,2018,Final, ,120,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
477,2018-12-21T00:00:00.000Z,126,4,FALSE,2018,Final, ,110,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
478,2018-12-21T00:00:00.000Z,107,4,FALSE,2018,Final, ,114,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
479,2018-12-22T00:00:00.000Z,132,4,FALSE,2018,Final, ,111,13,LAC,LA,West,Pacific,LA Clippers,Clippers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
480,2018-12-22T00:00:00.000Z,149,4,FALSE,2018,Final, ,146,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
481,2018-12-22T00:00:00.000Z,126,4,FALSE,2018,Final, ,101,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
482,2018-12-22T00:00:00.000Z,94,4,FALSE,2018,Final, ,87,16,MIA,Miami,East,Southeast,Miami Heat,Heat,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
483,2018-12-22T00:00:00.000Z,108,4,FALSE,2018,Final, ,101,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
484,2018-12-22T00:00:00.000Z,120,4,FALSE,2018,Final, ,116,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
485,2018-12-22T00:00:00.000Z,106,4,FALSE,2018,Final, ,107,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
486,2018-12-23T00:00:00.000Z,95,4,FALSE,2018,Final, ,98,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
487,2018-12-23T00:00:00.000Z,105,4,FALSE,2018,Final, ,89,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
488,2018-12-23T00:00:00.000Z,119,4,FALSE,2018,Final, ,103,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
489,2018-12-23T00:00:00.000Z,92,4,FALSE,2018,Final, ,112,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
490,2018-12-23T00:00:00.000Z,111,4,FALSE,2018,Final, ,103,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
491,2018-12-23T00:00:00.000Z,91,4,FALSE,2018,Final, ,115,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,16,MIA,Miami,East,Southeast,Miami Heat,Heat
492,2018-12-23T00:00:00.000Z,122,4,FALSE,2018,Final, ,117,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
493,2018-12-23T00:00:00.000Z,112,4,FALSE,2018,Final, ,114,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
494,2018-12-23T00:00:00.000Z,121,4,FALSE,2018,Final, ,118,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
495,2018-12-23T00:00:00.000Z,129,4,FALSE,2018,Final, ,127,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,13,LAC,LA,West,Pacific,LA Clippers,Clippers
496,2018-12-23T00:00:00.000Z,99,4,FALSE,2018,Final, ,107,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
497,2018-12-25T00:00:00.000Z,95,4,FALSE,2018,Final, ,109,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
498,2018-12-25T00:00:00.000Z,113,4,FALSE,2018,Final, ,109,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
499,2018-12-25T00:00:00.000Z,121,4,FALSE,2018,Final, ,114,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
500,2018-12-25T00:00:00.000Z,101,4,FALSE,2018,Final, ,127,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
501,2018-12-25T00:00:00.000Z,117,4,FALSE,2018,Final, ,96,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
502,2018-12-26T00:00:00.000Z,120,4,FALSE,2018,Final, ,122,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
503,2018-12-26T00:00:00.000Z,106,4,FALSE,2018,Final, ,95,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
504,2018-12-26T00:00:00.000Z,121,4,FALSE,2018,Final, ,129,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
505,2018-12-26T00:00:00.000Z,134,4,FALSE,2018,Final, ,132,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
506,2018-12-26T00:00:00.000Z,104,4,FALSE,2018,Final, ,106,16,MIA,Miami,East,Southeast,Miami Heat,Heat,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
507,2018-12-26T00:00:00.000Z,94,4,FALSE,2018,Final, ,119,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
508,2018-12-26T00:00:00.000Z,95,4,FALSE,2018,Final, ,87,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
509,2018-12-26T00:00:00.000Z,122,4,FALSE,2018,Final, ,119,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
510,2018-12-26T00:00:00.000Z,111,4,FALSE,2018,Final, ,103,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
511,2018-12-26T00:00:00.000Z,127,4,FALSE,2018,Final, ,118,13,LAC,LA,West,Pacific,LA Clippers,Clippers,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
512,2018-12-27T00:00:00.000Z,127,4,FALSE,2018,Final, ,113,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
513,2018-12-27T00:00:00.000Z,112,4,FALSE,2018,Final, ,96,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
514,2018-12-27T00:00:00.000Z,117,4,FALSE,2018,Final, ,116,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
515,2018-12-27T00:00:00.000Z,97,4,FALSE,2018,Final, ,114,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
516,2018-12-27T00:00:00.000Z,109,4,FALSE,2018,Final, ,110,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
517,2018-12-28T00:00:00.000Z,125,4,FALSE,2018,Final, ,88,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
518,2018-12-28T00:00:00.000Z,100,4,FALSE,2018,Final, ,87,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
519,2018-12-28T00:00:00.000Z,92,4,FALSE,2018,Final, ,101,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
520,2018-12-28T00:00:00.000Z,116,4,FALSE,2018,Final, ,87,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
521,2018-12-28T00:00:00.000Z,114,4,FALSE,2018,Final, ,112,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
